COMMENT,,SCARA:I,"SO(17)$NOutput during IO Command Execution Status",,"SCARA:I.DATA[16].15"
COMMENT,,SCARA:I,"SO2() & SO3() General User Bits",,"SCARA:I.DATA[17]"
COMMENT,,SCARA:I,"SO4() & SO5() General User Bits",,"SCARA:I.DATA[18]"
COMMENT,,SCARA:I,"SO6() & SO7()$NGeneral User Bits",,"SCARA:I.DATA[19]"
COMMENT,,SCARA:I,"SO10() & SO11()$NGeneral User Bits",,"SCARA:I.DATA[20]"
COMMENT,,SCARA:I,"SO12() & SO13()$NGeneral User Bits",,"SCARA:I.DATA[21]"
COMMENT,,SCARA:I,"SO14() & SO15()$NGeneral User Bits",,"SCARA:I.DATA[22]"
COMMENT,,SCARA:I,"SO16() & SO17()$NGeneral User Bits",,"SCARA:I.DATA[23]"
TAG,,SCARA:O,"","AB:ETHERNET_MODULE_INT_48Bytes:O:0","","(ExternalAccess := Read/Write)"
COMMENT,,SCARA:O,"Yamaha Dedicated Input SIW(0)",,"SCARA:O.DATA[0]"
COMMENT,,SCARA:O,"Yamaha Dedicated Input SIW(1)",,"SCARA:O.DATA[1]"
COMMENT,,SCARA:O,"SIW(2) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[2]"
COMMENT,,SCARA:O,"SIW(3) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[3]"
COMMENT,,SCARA:O,"SIW(4) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[4]"
COMMENT,,SCARA:O,"SIW(5) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[5]"
COMMENT,,SCARA:O,"SIW(6) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[6]"
COMMENT,,SCARA:O,"SIW(7) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[7]"
COMMENT,,SCARA:O,"SIW(8) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[8]"
COMMENT,,SCARA:O,"SIW(9) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[9]"
COMMENT,,SCARA:O,"SIW(10) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[10]"
COMMENT,,SCARA:O,"SIW(11) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[11]"
COMMENT,,SCARA:O,"SIW(12) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[12]"
COMMENT,,SCARA:O,"SIW(13) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[13]"
COMMENT,,SCARA:O,"SIW(14) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[14]"
COMMENT,,SCARA:O,"SIW(15) General User Word / DO NOT USE when AOIs are USED",,"SCARA:O.DATA[15]"
COMMENT,,SCARA:O,"Yamaha Dedicated Inputs from PLC SI0() & SI1()",,"SCARA:O.DATA[16]"
COMMENT,,SCARA:O,"SI(00)$NEmergency Stop$N($Q1$Q to be OK)",,"SCARA:O.DATA[16].0"
COMMENT,,SCARA:O,"SI(01)$NServo ON",,"SCARA:O.DATA[16].1"
COMMENT,,SCARA:O,"SI(02)$NService Mode",,"SCARA:O.DATA[16].2"
COMMENT,,SCARA:O,"SI(03)$NStep Execution",,"SCARA:O.DATA[16].3"
COMMENT,,SCARA:O,"SI(04)$Nreserved",,"SCARA:O.DATA[16].4"
COMMENT,,SCARA:O,"SI(05)$NI/O Command Execution Trigger",,"SCARA:O.DATA[16].5"
COMMENT,,SCARA:O,"SI(06)$Nreserved",,"SCARA:O.DATA[16].6"
COMMENT,,SCARA:O,"SI(07)$Nreserved",,"SCARA:O.DATA[16].7"
COMMENT,,SCARA:O,"SI(10)$NSequence Control Enabled",,"SCARA:O.DATA[16].8"
COMMENT,,SCARA:O,"SI(11)$NInterlock$N($Q1$Q to be OK)",,"SCARA:O.DATA[16].9"
COMMENT,,SCARA:O,"SI(12)$NProgram Start",,"SCARA:O.DATA[16].10"
COMMENT,,SCARA:O,"SI(13)$NAuto Mode Enabled",,"SCARA:O.DATA[16].11"
COMMENT,,SCARA:O,"SI(14)$NReturn-to-Origin",,"SCARA:O.DATA[16].12"
COMMENT,,SCARA:O,"SI(15)$NProgram Reset",,"SCARA:O.DATA[16].13"
COMMENT,,SCARA:O,"SI(16)$NManual Mode Enabled",,"SCARA:O.DATA[16].14"
COMMENT,,SCARA:O,"SI(17)$NAbsolute Reset",,"SCARA:O.DATA[16].15"
COMMENT,,SCARA:O,"SI2() & SI3() General User Bits",,"SCARA:O.DATA[17]"
COMMENT,,SCARA:O,"SI4() & SI5() General User Bits",,"SCARA:O.DATA[18]"
COMMENT,,SCARA:O,"SI6() & SI7() General User Bits",,"SCARA:O.DATA[19]"
COMMENT,,SCARA:O,"SI10() & SI11() General User Bits",,"SCARA:O.DATA[20]"
COMMENT,,SCARA:O,"SI12() & SI13() General User Bits",,"SCARA:O.DATA[21]"
COMMENT,,SCARA:O,"SI14() & SI15() General User Bits",,"SCARA:O.DATA[22]"
COMMENT,,SCARA:O,"SI16() & SI17() General User Bits",,"SCARA:O.DATA[23]"
TAG,,TSP:C,"","AB:ETHERNET_MODULE:C:0","","(ExternalAccess := Read/Write)"
TAG,,TSP:I,"","AB:ETHERNET_MODULE_INT_12Bytes:I:0","","(ExternalAccess := Read/Write)"
TAG,,TSP:O,"","AB:ETHERNET_MODULE_INT_12Bytes:O:0","","(ExternalAccess := Read/Write)"
TAG,,E1_TRANSFERIR_PALLET:I1,"","_001A:CMMT_AS_3392BCE0:I:0","","(ExternalAccess := Read/Write)"
TAG,,E1_TRANSFERIR_PALLET:O1,"","_001A:CMMT_AS_1CF890D4:O:0","","(ExternalAccess := Read/Write)"
TAG,,E2_TRANSFERIR_PALLET:I1,"","_001A:CMMT_AS_3392BCE0:I:0","","(ExternalAccess := Read/Write)"
TAG,,E2_TRANSFERIR_PALLET:O1,"","_001A:CMMT_AS_1CF890D4:O:0","","(ExternalAccess := Read/Write)"
TAG,,E3_INTRODUCIR_PALLET:I1,"","_001A:CMMT_AS_3392BCE0:I:0","","(ExternalAccess := Read/Write)"
TAG,,E3_INTRODUCIR_PALLET:O1,"","_001A:CMMT_AS_1CF890D4:O:0","","(ExternalAccess := Read/Write)"
TAG,,Accel,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Accel_Alcanzar_E1_EP,"Acceleracion a Alcanzar (Expulsar pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Accel_Alcanzar_E1_TP,"Acceleracion a Alcanzar (Transferir pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Accel_Alcanzar_E2_TP,"Acceleracion a Alcanzar (Transferir pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Accel_Alcanzar_E3_IP,"Acceleracion a Alcanzar (Introducir pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AOI_Falla_E1_EP,"Falla en el bloque de AOI en Sofware (Expulsar pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AOI_Falla_E1_TP,"Falla en el bloque de AOI en Sofware (Transferir pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AOI_Falla_E2_TP,"Falla en el bloque de AOI en Sofware (Transferir pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AOI_Falla_E3_IP,"Falla en el bloque de AOI en Sofware (Introducir pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,archmm_height,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,AutoSpeed,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,AutoSpeedCHECK,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Bits_Cond_Seguridad_E1_EP,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Bits_Cond_Seguridad_E1_TP,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Bits_Cond_Seguridad_E2_TP,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Bits_Cond_Seguridad_E3_IP,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,BIT_1_SEC_INICIAL,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,BIT_TEACH_DISP,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,BLINKER_1_SEG,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E1_EP_Home,"Condición Posición Contraído.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E1_EP_Pos_2,"Condición Posición Extendido.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E1_TP_Home,"Condición Posición Contraído.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E1_TP_Pos_2,"Condición Posición Extendido.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E2_TP_Home,"Condición Posición Contraído.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E2_TP_Pos_2,"Condición Posición Extendido.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E3_IP_Home,"Condición Posición Contraído.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_E3_IP_Pos_2,"Condición Posición Extendido.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_seguridad_E1_EP,"Indicación de $NMovimiento Seguro.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_seguridad_E1_TP,"Indicación de $NMovimiento Seguro.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_seguridad_E2_TP,"Indicación de $NMovimiento Seguro.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Cond_seguridad_E3_IP,"Indicación de $NMovimiento Seguro.","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Decel,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Decel_Alcanzar_E1_EP,"Desaceleracion a Alcanzar$N(Expulsar pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Decel_Alcanzar_E1_TP,"Desaceleracion a Alcanzar$N(Transferir pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Decel_Alcanzar_E2_TP,"Desaceleracion a Alcanzar$N(Transferir pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Decel_Alcanzar_E3_IP,"Desaceleracion a Alcanzar$N(Introducir pallet).","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Distance,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Distance_Xs_10,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,drivemm,"","YamDRIVEmm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,drivemm44,"","YamDRIVEmm","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIVERS_BUSQUEDA_ORIGEN,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Drivers_Man_E1_EP,"Drivers Modo Manual Servomotor ","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,Drivers_Man_E1_EP,"Driver Manual$NHabilitar Servomotor.",,"Drivers_Man_E1_EP.0"
COMMENT,,Drivers_Man_E1_EP,"Driver Manual$NDeshabilitar Servomotor.",,"Drivers_Man_E1_EP.1"
COMMENT,,Drivers_Man_E1_EP,"Driver Manual$NDetener$NServomotor.",,"Drivers_Man_E1_EP.2"
COMMENT,,Drivers_Man_E1_EP,"Driver Manual$NLiberar Freno$NServomotor.",,"Drivers_Man_E1_EP.3"
COMMENT,,Drivers_Man_E1_EP,"Driver Manual$NReiniciar$NServomotor.",,"Drivers_Man_E1_EP.4"
COMMENT,,Drivers_Man_E1_EP,"Driver Arrancar Movimiento a Posición 1 contraído, origen.",,"Drivers_Man_E1_EP.5"
COMMENT,,Drivers_Man_E1_EP,"Driver Arrancar Movimiento a Posición 2$Nextendido.",,"Drivers_Man_E1_EP.6"
TAG,,Drivers_Man_E1_TP,"Drivers Modo Manual Servomotor ","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,Drivers_Man_E1_TP,"Driver Manual$NHabilitar Servomotor.",,"Drivers_Man_E1_TP.0"
COMMENT,,Drivers_Man_E1_TP,"Driver Manual$NDeshabilitar Servomotor.",,"Drivers_Man_E1_TP.1"
COMMENT,,Drivers_Man_E1_TP,"Driver Manual$NDetener$NServomotor.",,"Drivers_Man_E1_TP.2"
COMMENT,,Drivers_Man_E1_TP,"Driver Manual$NLiberar Freno$NServomotor.",,"Drivers_Man_E1_TP.3"
COMMENT,,Drivers_Man_E1_TP,"Driver Manual$NReiniciar$NServomotor.",,"Drivers_Man_E1_TP.4"
COMMENT,,Drivers_Man_E1_TP,"Driver Arrancar Movimiento a Posición 1 contraído, origen.",,"Drivers_Man_E1_TP.5"
COMMENT,,Drivers_Man_E1_TP,"Driver Arrancar Movimiento a Posición 2$Nextendido.",,"Drivers_Man_E1_TP.6"
TAG,,Drivers_Man_E2_TP,"Drivers Modo Manual Servomotor ","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,Drivers_Man_E2_TP,"Driver Manual$NHabilitar Servomotor.",,"Drivers_Man_E2_TP.0"
COMMENT,,Drivers_Man_E2_TP,"Driver Manual$NDeshabilitar Servomotor.",,"Drivers_Man_E2_TP.1"
COMMENT,,Drivers_Man_E2_TP,"Driver Manual$NDetener$NServomotor.",,"Drivers_Man_E2_TP.2"
COMMENT,,Drivers_Man_E2_TP,"Driver Manual$NLiberar Freno$NServomotor.",,"Drivers_Man_E2_TP.3"
COMMENT,,Drivers_Man_E2_TP,"Driver Manual$NReiniciar$NServomotor.",,"Drivers_Man_E2_TP.4"
COMMENT,,Drivers_Man_E2_TP,"Driver Arrancar Movimiento a Posición 1 contraído, origen.",,"Drivers_Man_E2_TP.5"
COMMENT,,Drivers_Man_E2_TP,"Driver Arrancar Movimiento a Posición 2$Nextendido.",,"Drivers_Man_E2_TP.6"
TAG,,Drivers_Man_E3_IP,"Drivers Modo Manual Servomotor ","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,Drivers_Man_E3_IP,"Driver Manual$NHabilitar Servomotor.",,"Drivers_Man_E3_IP.0"
COMMENT,,Drivers_Man_E3_IP,"Driver Manual$NDeshabilitar Servomotor.",,"Drivers_Man_E3_IP.1"
COMMENT,,Drivers_Man_E3_IP,"Driver Manual$NDetener$NServomotor.",,"Drivers_Man_E3_IP.2"
COMMENT,,Drivers_Man_E3_IP,"Driver Manual$NLiberar Freno$NServomotor.",,"Drivers_Man_E3_IP.3"
COMMENT,,Drivers_Man_E3_IP,"Driver Manual$NReiniciar$NServomotor.",,"Drivers_Man_E3_IP.4"
COMMENT,,Drivers_Man_E3_IP,"Driver Arrancar Movimiento a Posición 1 contraído, origen.",,"Drivers_Man_E3_IP.5"
COMMENT,,Drivers_Man_E3_IP,"Driver Arrancar Movimiento a Posición 2$Nextendido.",,"Drivers_Man_E3_IP.6"
TAG,,DRIVERS_SEC_AUTO,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIVER_MODO_MAN_INICIALIZACION,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,DRIVER_RST_SEC_INICIAL,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,E1_EXPULSAR_PALLET,"","PTP_Drives_Festo_EIP","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,E1_TRANSFERIR_PALLET,"","PTP_Drives_Festo_EIP","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,E2_TRANSERIR_PALLET,"","PTP_Drives_Festo_EIP","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,E3_INTRODUCIR_PALLET,"","PTP_Drives_Festo_EIP","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,Eje_Referenciado_E1_EP,"Eje con Origen Encontrado (Expulsar pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Eje_Referenciado_E1_TP,"Eje con Origen Encontrado (Transferir pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Eje_Referenciado_E2_TP,"Eje con Origen Encontrado (Transferir pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,Eje_Referenciado_E3_IP,"Eje con Origen Encontrado (Introducir pallet).","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_00,"MONITOR PARO EMERGENCIA","","Local:3:I.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_01,"MONITOR PUERTAS ROBOT","","Local:3:I.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_02,"MONITOR PUERTA HORNO","","Local:3:I.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_03,"Monitor Puerta Salida","","Local:3:I.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_04,"Paro Emergencia Conveyor Entrada.","","Local:3:I.Data.4","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_05,"Paro Emergencia Conveyor Salida.","","Local:3:I.Data.5","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_06,"Interlock Puerta Arriba Robot.","","Local:3:I.Data.6","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_07,"Interlock Puerta Abajo Robot.","","Local:3:I.Data.7","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_08,"Interlock Puerta Horno.","","Local:3:I.Data.8","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_09,"Interlock Puerta Elevador Salida.","","Local:3:I.Data.9","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_10,"Interlock Puerta Abajo Conveyor Salida.","","Local:3:I.Data.10","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_11,"Sensor Presion Aire.","","Local:3:I.Data.11","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_12,"Sensor Cilindro 1 Tope Entrada Conveyor Extendido.","","Local:3:I.Data.12","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_13,"Sensor Cilindro 1 Tope Entrada Conveyor Retraido.","","Local:3:I.Data.13","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_14,"Sensor Cilindro 2 Tope Precalentador Conveyor Extendido.","","Local:3:I.Data.14","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_15,"Sensor Cilindro 2 Tope Precalentador Conveyor Retraido.","","Local:3:I.Data.15","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_16,"Sensor Deteccion Pallet Conveyor Entrada.","","Local:3:I.Data.16","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_17,"Sensor Deteccion Pallet Conveyor Precalentador.","","Local:3:I.Data.17","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_18,"Sensor Deteccion Modelo Bit 1.","","Local:3:I.Data.18","(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ENTRADA_L3_I_19,"Sensor Deteccion Modelo Bit 2.","","Local:3:I.Data.19","(RADIX := Decimal, ExternalAccess := Read/Write)"
